frame_id,track_count,active_track_ids,arm_velocity,body_velocity,fall_score,approach_velocity,risk_score,fused_score,state,active_rules,persistence_scores
114,3,2;3;1,0.9989,1.1359,0.4333,1.2672,0.1318,0.1318,NORMAL,,"{""[2, 3]"": 0.12750411134512268, ""[2]"": 0.1318210673210511}"
115,3,2;3;1,0.0000,0.0000,0.4333,0.0000,0.1213,0.1213,NORMAL,,"{""[2, 3]"": 0.11730378243751287, ""[2]"": 0.12127538193536701}"
116,3,2;3;1,2.1003,2.0863,0.4298,2.0800,0.1330,0.1330,NORMAL,SUSTAINED_CONTACT,"{""[2, 3]"": 0.1329566143900636, ""[2]"": 0.11157335138053766}"
117,3,2;3;1,0.0000,0.0000,0.4298,0.0000,0.1223,0.1223,NORMAL,,"{""[2, 3]"": 0.12232008523885851, ""[2]"": 0.10264748327009465}"
118,3,2;3;1,0.8768,0.8674,0.3636,0.7990,0.1125,0.1125,NORMAL,,"{""[2, 3]"": 0.11253447841974984, ""[2]"": 0.09443568460848709}"
119,3,2;3;1,0.0000,0.0000,0.3636,0.0000,0.1035,0.1035,NORMAL,,"{""[2, 3]"": 0.10353172014616986, ""[2]"": 0.08688082983980812}"
120,3,2;3;1,0.6598,0.9055,0.4811,1.3142,0.0952,0.0952,NORMAL,,"{""[2, 3]"": 0.09524918253447627, ""[2]"": 0.07993036345262347}"
121,3,2;3;1,0.0000,0.0000,0.4811,0.0000,0.0876,0.0876,NORMAL,,"{""[2, 3]"": 0.08762924793171817, ""[2]"": 0.07353593437641359}"
122,3,2;3;1,1.7954,0.9347,0.4194,1.2453,0.1058,0.1058,NORMAL,SUSTAINED_CONTACT,"{""[2, 3]"": 0.1057985179021657, ""[2]"": 0.06765305962630051}"
123,3,2;3;1,0.0000,0.0000,0.4194,0.0000,0.0973,0.0973,NORMAL,,"{""[2, 3]"": 0.09733463646999245, ""[2]"": 0.06224081485619647}"
124,3,2;3;1,0.1620,0.3309,0.4194,0.3376,0.0895,0.0895,NORMAL,,"{""[2, 3]"": 0.08954786555239305, ""[2]"": 0.05726154966770076}"
125,3,2;3;1,0.0000,0.0000,0.4194,0.0000,0.1689,0.1689,NORMAL,CAMERA_RUSH,"{""[2, 3]"": 0.08238403630820161, ""[2]"": 0.0526806256942847, ""[3]"": 0.16887823874170638}"
